"","X","neighborhood_identifier","business_identifier","treatment_neighborhood","eligible","intent_to_treat","enrolled_rp","efficiency_index","round","waste_management_costs","age_manager","age_deputy","educ_manager","educ_deputy","female_manager","foreign_owned","staff_size","advanced_filtration","water_treatment_system","business_area","recycling_center_distance","recycling_compliance"
"19",19,26,28,1,1,1,1,52.6275100708008,0,723.070859909058,40,36,0,2,0,0,9,1,0,1,124.819966250118,0
"20",20,26,28,1,1,1,1,52.6275100708008,1,641.748237609863,40,37,0,2,0,0,9,1,0,1,124.819966250118,0
"21",21,26,29,1,1,1,1,53.9412689208984,1,252.997136116028,24,23,5,5,0,0,4,0,0,1,124.819966250118,0
"22",22,26,29,1,1,1,1,53.9412689208984,0,1856.69403076172,23,22,5,5,0,0,4,0,0,1,124.819966250118,0
"23",23,26,31,1,1,1,0,50.185474395752,0,1149.04308319092,40,35,2,6,0,0,9,0,0,5,124.819966250118,0
"24",24,26,31,1,1,1,0,50.185474395752,1,142.787098884583,41,36,2,6,0,0,9,0,0,5,124.819966250118,0
"25",25,26,37,1,1,1,1,52.1251945495605,1,1109.32378768921,28,27,3,0,0,0,5,1,0,2,124.819966250118,0
"26",26,26,37,1,1,1,1,52.1251945495605,0,1483.54730606079,27,26,3,0,0,0,5,1,0,2,124.819966250118,0
"27",27,26,39,1,1,1,0,48.274341583252,1,648.236179351807,51,46,2,0,0,0,5,1,0,5,124.819966250118,0
"28",28,26,39,1,1,1,0,48.274341583252,0,1808.27732086182,50,45,2,0,0,0,5,1,0,5,124.819966250118,0
"29",29,26,41,1,1,1,0,53.3485336303711,1,492.354297637939,47,39,0,0,0,0,7,1,0,2,124.819966250118,0
"30",30,26,41,1,1,1,0,53.3485336303711,0,1199.45392608643,46,38,0,0,0,0,7,1,0,2,124.819966250118,0
"31",31,26,43,1,1,1,1,54.4304504394531,1,35.4052722454071,41,37,4,0,0,0,8,0,0,2,124.819966250118,0
"32",32,26,43,1,1,1,1,54.4304504394531,0,1302.62956619263,40,36,4,0,0,0,8,0,0,2,124.819966250118,0
"33",33,26,44,1,1,1,1,53.1684684753418,0,1604.34856414795,25,41,0,2,1,0,5,1,0,0,124.819966250118,0
"34",34,26,44,1,1,1,1,53.1684684753418,1,120.998978614807,26,41,0,2,1,0,5,1,0,0,124.819966250118,0
"35",35,26,50,1,1,1,1,49.381763458252,1,311.101841926575,41,37,3,0,0,0,10,1,0,3,124.819966250118,0
"36",36,26,50,1,1,1,1,49.381763458252,0,655.575799942017,40,37,3,0,0,0,10,1,0,3,124.819966250118,0
"37",37,26,51,1,1,1,1,57.4961357116699,0,2019.96479034424,26,20,6,0,0,0,2,1,0,1,124.819966250118,0
"38",38,26,51,1,1,1,1,57.4961357116699,1,4968.51463317871,27,21,6,0,0,0,2,1,0,1,124.819966250118,0
"39",39,62,54,1,1,1,1,47.9443588256836,0,879.468250274658,42,38,1,0,0,0,9,1,0,3,135.473218142381,0
"40",40,62,54,1,1,1,1,47.9443588256836,1,121.086144447327,43,39,1,0,0,0,9,1,0,3,135.473218142381,0
"41",41,62,55,1,1,1,1,49.381763458252,0,1346.92678451538,31,30,2,1,0,0,6,1,0,2,135.473218142381,0
"42",42,62,55,1,1,1,1,49.381763458252,1,1498.9296913147,32,31,2,1,0,0,6,1,0,2,135.473218142381,0
"43",43,62,56,1,1,1,1,52.2411117553711,1,218.736958503723,32,39,3,2,1,0,6,0,0,2,135.473218142381,0
"44",44,62,56,1,1,1,1,52.2411117553711,0,1852.70328521729,31,41,3,2,1,0,6,0,0,2,135.473218142381,0
"45",45,62,59,1,1,1,1,53.5548667907715,1,300.965619087219,40,41,0,2,1,0,8,1,0,1,135.473218142381,0
"46",46,62,59,1,1,1,1,53.5548667907715,0,1133.38136672974,39,41,0,2,1,0,8,1,0,1,135.473218142381,0
"47",47,62,64,1,1,1,1,49.1499214172363,0,1228.00817489624,47,45,0,0,0,0,7,1,0,2,135.473218142381,0
"48",48,62,64,1,1,1,1,49.1499214172363,1,421.855163574219,48,46,0,0,0,0,7,1,0,2,135.473218142381,0
"49",49,62,68,1,1,1,0,55.0231857299805,0,1733.31203460693,32,21,2,4,0,0,4,1,0,4,135.473218142381,0
"50",50,62,68,1,1,1,0,55.0231857299805,1,284.588837623596,33,22,2,4,0,0,4,1,0,4,135.473218142381,1
"51",51,62,71,1,1,1,1,55.2805252075195,0,1666.08066558838,66,41,0,2,1,0,7,1,0,12,135.473218142381,0
"52",52,62,71,1,1,1,1,55.2805252075195,1,75.062483549118,67,41,0,2,1,0,7,1,0,12,135.473218142381,0
"53",53,134,75,0,1,0,0,48.5703239440918,1,2262.37678527832,19,20,0,0,0,1,3,1,0,2,142.136129504352,0
"54",54,134,75,0,1,0,0,48.5703239440918,0,1367.35105514526,18,19,0,0,0,1,3,1,0,2,142.136129504352,0
"55",55,134,76,0,1,0,0,39.3353958129883,1,1178.34749221802,28,27,0,0,0,1,6,1,0,2,142.136129504352,0
"56",56,134,76,0,1,0,0,39.3353958129883,0,911.509418487549,27,26,0,0,0,1,6,1,0,2,142.136129504352,0
"57",57,134,77,0,1,0,0,45.9814529418945,1,1974.95555877686,48,48,0,0,0,1,4,1,0,3,142.136129504352,0
"58",58,134,77,0,1,0,0,45.9814529418945,0,1597.52883911133,47,47,0,0,0,1,4,1,0,3,142.136129504352,0
"59",59,134,78,0,1,0,0,44.3585777282715,0,1402.10952758789,25,24,1,0,0,1,4,1,0,3,142.136129504352,0
"60",60,134,78,0,1,0,0,44.3585777282715,1,1048.10400009155,26,25,1,0,0,1,4,1,0,3,142.136129504352,0
"61",61,134,80,0,1,0,0,45.5950546264648,0,1867.65575408936,36,41,0,2,1,1,3,1,0,1,142.136129504352,0
"62",62,134,80,0,1,0,0,45.5950546264648,1,1845.31402587891,37,41,0,2,1,1,3,1,0,1,142.136129504352,0
"63",63,34,90,1,1,1,1,57.3029365539551,0,1544.12755966187,32,41,4,2,1,1,5,1,0,2,163.841865005557,0
"64",64,34,90,1,1,1,1,57.3029365539551,1,0,33,41,4,2,1,1,5,1,0,2,163.841865005557,0
"65",65,34,97,1,1,1,1,55.5641403198242,0,1516.42589569092,50,49,3,1,0,1,5,1,0,3,163.841865005557,0
"66",66,34,97,1,1,1,1,55.5641403198242,1,374.251770973206,51,50,3,1,0,1,5,1,0,3,163.841865005557,0
"67",67,34,99,1,1,1,1,55.9505424499512,1,51.2689769268036,73,73,0,0,0,1,6,1,0,1,163.841865005557,0
"68",68,34,99,1,1,1,1,55.9505424499512,0,1187.44134902954,72,72,0,0,0,1,6,1,0,1,163.841865005557,1
"69",69,34,100,1,1,1,0,57.7024726867676,0,1586.03992462158,67,49,2,0,0,1,5,1,1,2,163.841865005557,0
"70",70,34,100,1,1,1,0,57.7024726867676,1,0,68,50,2,0,0,1,5,1,1,2,163.841865005557,0
"71",71,34,107,1,1,1,1,47.0888748168945,0,818.917083740234,28,26,3,2,0,1,7,1,0,0,163.841865005557,0
"72",72,34,107,1,1,1,1,47.0888748168945,1,158.163285255432,29,27,3,2,0,1,7,1,0,0,163.841865005557,0
"73",73,34,109,1,1,1,1,57.8825340270996,0,1216.88632965088,60,50,0,0,0,1,6,1,0,1,163.841865005557,0
"74",74,34,109,1,1,1,1,57.8825340270996,1,908.862781524658,61,51,0,0,0,1,6,1,0,1,163.841865005557,0
"75",75,34,125,1,1,1,1,56.4142189025879,0,1192.19961166382,41,39,4,0,0,1,6,1,0,1,163.841865005557,0
"76",76,34,125,1,1,1,1,56.4142189025879,1,5.88333122432232,42,40,4,0,0,1,6,1,0,1,163.841865005557,0
"77",77,34,130,1,1,1,1,49.459041595459,1,112.854599952698,38,31,0,0,0,1,6,1,0,2,163.841865005557,0
"78",78,34,130,1,1,1,1,49.459041595459,0,1035.18161773682,37,30,0,0,0,1,6,1,0,2,163.841865005557,0
"79",79,34,131,1,1,1,1,51.7001533508301,1,51.0587871074677,41,41,0,6,0,1,5,1,0,1,163.841865005557,0
"80",80,34,131,1,1,1,1,51.7001533508301,0,1297.55420684814,40,40,0,6,0,1,5,1,0,1,163.841865005557,0
"81",81,34,133,1,1,1,1,55.4868621826172,0,1357.50875473022,27,22,3,5,0,1,4,1,0,0,163.841865005557,0
"82",82,34,133,1,1,1,1,55.4868621826172,1,7.59841948747635,28,23,3,5,0,1,4,1,0,0,163.841865005557,0
"83",83,34,136,1,1,1,1,57.9598159790039,0,881.203556060791,70,50,0,0,0,1,8,1,0,4,163.841865005557,0
"84",84,34,136,1,1,1,1,57.9598159790039,1,0,71,51,0,0,0,1,8,1,0,4,163.841865005557,0
"85",85,34,138,1,1,1,1,49.8454399108887,1,0,34,32,0,4,0,1,7,1,0,1,163.841865005557,0
"86",86,34,138,1,1,1,1,49.8454399108887,0,786.007690429688,33,31,0,4,0,1,7,1,0,1,163.841865005557,0
"87",87,34,140,1,1,1,1,56.6460571289062,1,410.089206695557,57,51,0,0,0,1,6,1,1,2,163.841865005557,0
"88",88,34,140,1,1,1,1,56.6460571289062,0,1253.37104797363,56,50,0,0,0,1,6,1,1,2,163.841865005557,0
"89",89,34,141,1,1,1,1,54.4435844421387,0,883.557796478271,31,29,2,0,0,1,7,1,1,1,163.841865005557,0
"90",90,34,141,1,1,1,1,54.4435844421387,1,0,32,30,2,0,0,1,7,1,1,1,163.841865005557,0
"91",91,34,144,1,1,1,1,55.4095840454102,0,1011.07416152954,27,28,1,0,0,1,6,1,0,1,163.841865005557,0
"92",92,34,144,1,1,1,1,55.4095840454102,1,249.296498298645,28,30,1,0,0,1,6,1,0,1,163.841865005557,0
"93",93,34,147,1,1,1,1,52.3956718444824,1,0,34,33,6,6,0,1,8,1,0,0,163.841865005557,0
"94",94,34,147,1,1,1,1,52.3956718444824,0,666.65735244751,33,32,6,6,0,1,8,1,0,0,163.841865005557,0
"95",95,34,150,1,1,1,1,50.7341575622559,1,26.5970408916473,33,28,4,0,0,1,7,1,0,1,163.841865005557,0
"96",96,34,150,1,1,1,1,50.7341575622559,0,846.45528793335,32,27,4,0,0,1,7,1,0,1,163.841865005557,0
"97",97,34,153,1,1,1,1,57.8052558898926,1,375.289273262024,36,33,0,0,0,1,5,1,0,1,163.841865005557,0
"98",98,34,153,1,1,1,1,57.8052558898926,0,1218.20220947266,35,32,0,0,0,1,5,1,0,1,163.841865005557,0
"99",99,34,155,1,1,1,1,56.1050987243652,1,1199.03936386108,76,41,0,2,0,1,1,1,0,0,163.841865005557,0
"100",100,34,155,1,1,1,1,56.1050987243652,0,2511.64932250977,75,41,0,2,0,1,1,1,0,0,163.841865005557,0
"101",101,34,158,1,1,1,1,56.2596588134766,0,1315.25526046753,35,20,0,6,0,1,4,1,0,0,163.841865005557,0
"102",102,34,158,1,1,1,1,56.2596588134766,1,129.679131507874,36,21,0,6,0,1,4,1,0,0,163.841865005557,0
"103",103,34,162,1,1,1,1,54.5595054626465,0,1055.23891448975,23,25,0,6,0,1,5,1,0,1,163.841865005557,0
"104",104,34,162,1,1,1,1,54.5595054626465,1,0,24,26,0,6,0,1,5,1,0,1,163.841865005557,0
"105",105,34,163,1,1,1,1,56.2596588134766,1,157.764744758606,27,31,0,0,0,1,4,1,0,1,163.841865005557,0
"106",106,34,163,1,1,1,1,56.2596588134766,0,1326.81016921997,26,30,0,0,0,1,4,1,0,1,163.841865005557,0
"107",107,34,168,1,1,1,1,55.2295188903809,1,80.1330745220184,40,40,0,0,0,1,8,0,0,1,163.841865005557,0
"108",108,34,168,1,1,1,1,55.2295188903809,0,928.220081329346,39,39,0,0,0,1,8,0,0,1,163.841865005557,0
"109",109,34,169,1,1,1,1,54.4049453735352,0,1729.76932525635,37,38,0,0,0,1,4,0,0,1,163.841865005557,1
"110",110,34,169,1,1,1,1,54.4049453735352,1,0,38,39,0,0,0,1,4,0,0,1,163.841865005557,0
"111",111,34,173,1,1,1,0,54.0958251953125,1,0,35,32,5,5,0,1,5,0,1,1,163.841865005557,1
"112",112,34,173,1,1,1,0,54.0958251953125,0,1586.33642196655,33,31,5,5,0,1,5,0,1,1,163.841865005557,0
"113",113,34,182,1,1,1,1,54.520866394043,0,908.554267883301,46,36,0,0,0,1,7,1,0,1,163.841865005557,0
"114",114,34,182,1,1,1,1,54.520866394043,1,0,47,37,0,0,0,1,7,1,0,1,163.841865005557,0
"115",115,34,184,1,1,1,1,57.8415756225586,1,0,60,58,0,0,0,1,6,1,0,0,163.841865005557,0
"116",116,34,184,1,1,1,1,57.8415756225586,0,1194.14730072021,59,57,0,0,0,1,6,1,0,0,163.841865005557,0
"117",117,34,185,1,1,1,1,53.4907264709473,1,288.487076759338,63,62,0,0,0,1,8,1,1,2,163.841865005557,0
"118",118,34,185,1,1,1,1,53.4907264709473,0,854.228687286377,62,61,0,0,0,1,8,1,1,2,163.841865005557,0
"119",119,34,192,1,1,1,1,52.5502319335938,0,735.620021820068,26,31,0,0,0,1,7,1,0,2,163.841865005557,0
"120",120,34,192,1,1,1,1,52.5502319335938,1,36.4113032817841,27,32,0,0,0,1,7,1,0,2,163.841865005557,0
"121",121,34,195,1,1,1,0,54.4049453735352,0,1377.39276885986,31,41,3,2,0,1,5,1,0,2,163.841865005557,0
"122",122,34,195,1,1,1,0,54.4049453735352,1,706.619167327881,32,42,3,2,0,1,5,1,0,2,163.841865005557,0
"123",123,34,198,1,1,1,1,55.5255012512207,1,0,78,68,0,0,0,1,9,1,0,4,163.841865005557,1
"124",124,34,198,1,1,1,1,55.5255012512207,0,649.977922439575,77,67,0,0,0,1,9,1,0,4,163.841865005557,0
"125",125,34,199,1,1,1,1,50.7727966308594,0,680.015659332275,42,33,0,0,0,1,8,1,0,2,163.841865005557,0
"126",126,34,199,1,1,1,1,50.7727966308594,1,0,43,34,0,0,0,1,8,1,0,2,163.841865005557,0
"127",127,34,201,1,1,1,1,50.540958404541,0,1097.15957641602,65,35,0,3,1,1,6,1,0,1,163.841865005557,0
"128",128,34,201,1,1,1,1,50.540958404541,1,56.083220243454,66,36,0,3,1,1,6,1,0,1,163.841865005557,0
"129",129,34,203,1,1,1,1,54.3276672363281,0,1334.57107543945,30,28,9,9,0,1,6,0,1,1,163.841865005557,0
"130",130,34,203,1,1,1,1,54.3276672363281,1,195.121216773987,31,29,9,9,0,1,6,0,1,1,163.841865005557,0
"131",131,34,209,1,1,1,1,49.922721862793,0,1405.25951385498,55,52,0,0,0,1,5,1,0,1,163.841865005557,0
"132",132,34,209,1,1,1,1,49.922721862793,1,658.877563476562,56,53,0,0,0,1,5,1,0,1,163.841865005557,0
"133",133,34,213,1,1,1,1,56.2596588134766,0,1168.09015274048,49,48,0,0,0,1,6,1,0,1,163.841865005557,0
"134",134,34,213,1,1,1,1,56.2596588134766,1,0,50,49,0,0,0,1,6,1,0,1,163.841865005557,0
"135",135,34,214,1,1,1,1,51.5455932617188,0,1299.98750686646,46,36,6,2,0,1,7,0,1,1,163.841865005557,0
"136",136,34,214,1,1,1,1,51.5455932617188,1,0,47,37,6,2,0,1,7,0,1,1,163.841865005557,0
"137",137,34,219,1,1,1,1,55.2704811096191,0,963.659381866455,77,72,0,0,0,1,7,1,0,0,163.841865005557,0
"138",138,34,219,1,1,1,1,55.2704811096191,1,401.911544799805,78,73,0,0,0,1,7,1,0,0,163.841865005557,0
"139",139,34,221,1,1,1,1,54.7913436889648,1,10.2624133229256,43,33,0,0,0,1,8,1,0,1,163.841865005557,0
"140",140,34,221,1,1,1,1,54.7913436889648,0,655.910539627075,42,32,0,0,0,1,8,1,0,1,163.841865005557,0
"141",141,34,225,1,1,1,1,53.6321487426758,0,1511.90195083618,41,41,0,0,0,1,4,1,0,1,163.841865005557,0
"142",142,34,225,1,1,1,1,53.6321487426758,1,830.574893951416,42,42,0,0,0,1,4,1,0,1,163.841865005557,0
"143",143,34,226,1,1,1,1,52.3956718444824,1,533.355331420898,26,24,5,5,0,1,5,0,0,1,163.841865005557,0
"144",144,34,226,1,1,1,1,52.3956718444824,0,1417.96846389771,25,23,5,5,0,1,5,0,0,1,163.841865005557,0
"145",145,34,228,1,1,1,0,54.9459037780762,0,1387.30278015137,25,22,5,4,0,1,4,1,1,1,163.841865005557,0
"146",146,34,228,1,1,1,0,54.9459037780762,1,319.119191169739,26,23,5,4,0,1,4,1,1,1,163.841865005557,0
"147",147,34,229,1,1,1,1,51.1591949462891,1,328.648400306702,31,25,5,3,0,1,6,0,1,1,163.841865005557,0
"148",148,34,229,1,1,1,1,51.1591949462891,0,1303.15608978271,30,24,5,3,0,1,6,0,1,1,163.841865005557,0
"149",149,34,230,1,1,1,1,52.7047920227051,1,846.056461334229,42,37,0,0,0,1,7,1,0,2,163.841865005557,0
"150",150,34,230,1,1,1,1,52.7047920227051,0,893.946361541748,41,36,0,0,0,1,7,1,0,2,163.841865005557,0
"151",151,34,235,1,1,1,1,54.8686256408691,0,1265.72008132935,25,25,6,6,0,1,6,0,0,3,163.841865005557,0
"152",152,34,235,1,1,1,1,54.8686256408691,1,168.471741676331,27,26,6,6,0,1,6,0,0,3,163.841865005557,0
"153",153,46,241,1,1,1,1,52.5502319335938,0,1254.02746200562,23,20,0,6,0,1,4,1,0,3,132.001494403127,0
"154",154,46,241,1,1,1,1,52.5502319335938,1,298.730683326721,24,20,0,6,0,1,4,1,0,3,132.001494403127,0
"155",155,46,243,1,1,1,1,54.2503852844238,1,1515.68746566772,23,26,6,6,1,0,4,1,0,0,132.001494403127,0
"156",156,46,243,1,1,1,1,54.2503852844238,0,1503.0312538147,22,25,6,6,1,0,4,1,0,0,132.001494403127,0
"157",157,46,246,1,1,1,1,57.8825340270996,0,1865.20614624023,25,19,6,6,0,0,3,1,1,3,132.001494403127,0
"158",158,46,246,1,1,1,1,57.8825340270996,1,0,27,21,6,6,0,0,3,1,1,3,132.001494403127,0
"159",159,46,249,1,1,1,1,46.3678512573242,0,970.981311798096,32,29,6,6,0,0,8,1,1,2,132.001494403127,0
"160",160,46,249,1,1,1,1,46.3678512573242,1,0,33,30,6,6,0,0,8,1,1,2,132.001494403127,0
"161",161,46,252,1,1,1,1,56.3369407653809,1,0,33,32,2,0,0,0,5,1,0,1,132.001494403127,0
"162",162,46,252,1,1,1,1,56.3369407653809,0,1553.78942489624,32,32,2,0,0,0,5,1,0,1,132.001494403127,0
"163",163,46,260,1,1,1,1,54.4822273254395,1,795.604610443115,41,31,3,3,0,0,6,1,0,3,132.001494403127,0
"164",164,46,260,1,1,1,1,54.4822273254395,0,1439.88952636719,40,30,3,3,0,0,6,1,0,3,132.001494403127,0
"165",165,46,263,1,1,1,1,55.3323020935059,0,1732.25860595703,20,20,5,5,0,0,3,1,0,0,132.001494403127,0
"166",166,46,263,1,1,1,1,55.3323020935059,1,1152.00319290161,21,21,5,5,0,0,3,1,0,0,132.001494403127,0
"167",167,46,265,1,1,1,1,53.7094268798828,1,398.968720436096,51,42,2,0,0,0,5,1,0,2,132.001494403127,0
"168",168,46,265,1,1,1,1,53.7094268798828,0,1745.33615112305,50,42,2,0,0,0,5,1,0,2,132.001494403127,0
"169",169,46,266,1,1,1,1,42.1020088195801,1,0,42,32,0,0,0,0,8,1,0,1,132.001494403127,0
"170",170,46,266,1,1,1,1,42.1020088195801,0,913.40446472168,42,31,0,0,0,0,8,1,0,1,132.001494403127,0
"171",171,46,268,1,1,1,1,39.799072265625,1,78.4026324748993,34,32,5,1,0,0,8,1,0,1,132.001494403127,0
"172",172,46,268,1,1,1,1,39.799072265625,0,942.469882965088,33,31,5,1,0,0,8,1,0,1,132.001494403127,1
"173",173,46,270,1,1,1,1,51.2364768981934,0,1267.43192672729,27,27,2,0,0,0,6,1,0,1,132.001494403127,0
"174",174,46,270,1,1,1,1,51.2364768981934,1,0,28,28,2,0,0,0,6,1,0,1,132.001494403127,0
"175",175,46,271,1,1,1,1,56.1050987243652,0,1684.68322753906,28,24,6,6,0,0,4,1,0,2,132.001494403127,0
"176",176,46,271,1,1,1,1,56.1050987243652,1,221.101880073547,29,25,6,6,0,0,4,1,0,2,132.001494403127,0
"177",177,50,276,1,1,1,1,52.7047920227051,0,1740.62633514404,42,32,0,0,0,0,4,1,0,1,132.772322188135,0
"178",178,50,276,1,1,1,1,52.7047920227051,1,1679.07638549805,43,33,0,0,0,0,4,1,0,1,132.772322188135,1
"179",179,50,278,1,1,1,1,53.7867088317871,1,492.13399887085,52,41,0,2,1,0,5,1,0,1,132.772322188135,0
"180",180,50,278,1,1,1,1,53.7867088317871,0,1824.42417144775,51,41,0,2,1,0,5,1,0,1,132.772322188135,0
"181",181,80,280,1,1,1,1,48.1197814941406,0,1055.99918365479,42,40,2,0,0,0,8,1,0,1,130.47840098353,0
"182",182,80,280,1,1,1,1,48.1197814941406,1,98.4786212444305,43,41,2,0,0,0,8,1,0,1,130.47840098353,0
"183",183,80,281,1,1,1,1,48.4289016723633,0,1782.67192840576,60,57,2,0,0,0,5,1,0,1,130.47840098353,0
"184",184,80,281,1,1,1,1,48.4289016723633,1,179.042363166809,61,58,2,0,0,0,5,1,0,1,130.47840098353,0
"185",185,80,283,1,1,1,0,44.1136016845703,0,735.163688659668,52,52,0,0,0,0,11,1,0,18,130.47840098353,0
"186",186,80,283,1,1,1,0,44.1136016845703,1,345.340752601624,53,53,0,0,0,0,11,1,0,18,130.47840098353,0
"187",187,80,287,1,1,1,0,49.3044815063477,0,2220.34187316895,86,41,0,2,1,1,2,1,0,1,130.47840098353,0
"188",188,80,287,1,1,1,0,49.3044815063477,1,415.105724334717,87,41,0,2,1,1,2,1,0,1,130.47840098353,0
"189",189,80,290,1,1,1,1,42.3493041992188,1,429.790782928467,38,36,0,0,0,0,5,1,0,18,130.47840098353,0
"190",190,80,290,1,1,1,1,42.3493041992188,0,1826.06353759766,37,35,0,0,0,0,5,1,0,18,130.47840098353,0
"191",191,44,294,1,1,1,1,52.7047920227051,1,437.617683410645,37,35,6,3,0,0,10,1,1,2,147.658729749109,0
"192",192,44,294,1,1,1,1,52.7047920227051,0,625.21538734436,36,34,6,3,0,0,10,1,1,2,147.658729749109,0
"193",193,61,297,1,1,1,1,55.4289016723633,0,1147.7837562561,43,39,0,0,0,0,7,1,0,0,107.677866683872,0
"194",194,61,297,1,1,1,1,55.4289016723633,1,991.823863983154,44,40,0,0,0,0,7,1,0,0,107.677866683872,0
"195",195,61,299,1,1,1,1,50.1159210205078,1,0,41,39,0,0,0,1,7,1,0,1,107.677866683872,1
"196",196,61,299,1,1,1,1,50.1159210205078,0,877.418327331543,40,38,0,0,0,1,7,1,0,1,107.677866683872,0
"197",197,61,301,1,1,1,1,54.1731071472168,0,1339.4832611084,33,25,0,0,0,1,4,1,0,0,107.677866683872,0
"198",198,61,301,1,1,1,1,54.1731071472168,1,758.159923553467,34,26,0,0,0,1,4,1,0,0,107.677866683872,0
"199",199,61,304,1,1,1,1,53.4775886535645,0,1430.33695220947,46,41,0,0,0,1,6,0,0,3,107.677866683872,1
"200",200,61,304,1,1,1,1,53.4775886535645,1,1439.09540176392,47,42,0,0,0,1,6,0,0,3,107.677866683872,0
"201",201,61,306,1,1,1,1,52.8338470458984,0,967.244625091553,56,41,0,2,1,1,8,1,0,1,107.677866683872,0
"202",202,61,306,1,1,1,1,52.8338470458984,1,0,56,41,0,2,1,1,8,1,0,1,107.677866683872,0
"203",203,61,307,1,1,1,1,52.3701705932617,1,285.335278511047,59,56,0,0,0,1,8,1,0,2,107.677866683872,0
"204",204,61,307,1,1,1,1,52.3701705932617,0,817.858028411865,58,56,0,0,0,1,8,1,0,2,107.677866683872,0
"205",205,61,313,1,1,1,1,56.0023155212402,1,639.132976531982,38,35,0,0,0,1,5,1,1,3,107.677866683872,0
"206",206,61,313,1,1,1,1,56.0023155212402,0,1314.62316513062,37,34,0,0,0,1,5,1,1,3,107.677866683872,0
"207",207,61,315,1,1,1,1,42.5811424255371,0,1083.56256484985,31,37,5,0,0,1,6,1,0,0,107.677866683872,1
"208",208,61,315,1,1,1,1,42.5811424255371,1,622.560977935791,33,38,5,0,0,1,6,1,0,0,107.677866683872,0
"209",209,98,317,1,1,1,1,48.0680046081543,0,1002.63137817383,31,24,6,6,0,1,6,1,0,0,112.767007082944,0
"210",210,98,317,1,1,1,1,48.0680046081543,1,248.713040351868,32,24,6,6,0,1,6,1,0,0,112.767007082944,0
"211",211,98,318,1,1,1,1,52.3956718444824,1,0,28,26,6,6,0,1,5,0,0,0,112.767007082944,0
"212",212,98,318,1,1,1,1,52.3956718444824,0,1428.63836288452,27,24,6,6,0,1,5,0,0,0,112.767007082944,0
"213",213,98,319,1,1,1,1,50.077278137207,1,397.501301765442,41,27,0,0,0,0,6,1,0,0,112.767007082944,0
"214",214,98,319,1,1,1,1,50.077278137207,0,1264.29986953735,40,27,0,0,0,0,6,1,0,0,112.767007082944,0
"215",215,98,321,1,1,1,1,53.4544067382812,0,1277.6927947998,32,33,6,0,0,1,5,1,0,0,112.767007082944,0
"216",216,98,321,1,1,1,1,53.4544067382812,1,113.84642124176,33,34,6,0,0,1,5,1,0,0,112.767007082944,0
"217",217,98,328,1,1,1,1,54.6367835998535,1,1217.29173660278,28,25,6,4,0,0,4,1,0,0,112.767007082944,0
"218",218,98,328,1,1,1,1,54.6367835998535,0,1638.04378509521,27,24,6,4,0,0,4,1,0,0,112.767007082944,0
