"segment_id","sector_id","corridor_type","year","round","treated","eligible_speed","cameras_installed","enforcement_intensity","baseline_speed_85th","ave_speed_kmh","speed_limit_kmh","lanes","road_length_km","lighting_quality","school_within_500m","prior_collisions_3yr","vehicles_km_millions","injury_collisions","fatal_collisions","minor_collisions","injuries_per_million_vkm"
"SEC01-011","SEC01","school corridor",2019,0,1,1,1,1.37,72,72.1,80,5,2.45,"adequate",1,12,12.42,13,1,22,1.047
"SEC01-011","SEC01","school corridor",2021,1,1,1,1,2.46,72,67.8,80,5,2.45,"adequate",1,12,15.16,19,0,27,1.253
"SEC01-012","SEC01","school corridor",2019,0,1,1,1,2.51,79.1,79.6,80,4,1.26,"adequate",0,14,6.14,10,0,17,1.629
"SEC01-012","SEC01","school corridor",2021,1,1,1,1,2.15,79.1,75,80,4,1.26,"adequate",0,14,6.39,13,2,11,2.034
"SEC01-013","SEC01","school corridor",2019,0,1,0,0,0,62.1,63.8,60,4,0.59,"adequate",0,7,2.92,5,1,15,1.712
"SEC01-013","SEC01","school corridor",2021,1,1,0,0,0,62.1,61.8,60,4,0.59,"adequate",0,7,3.29,7,0,7,2.128
"SEC01-014","SEC01","school corridor",2019,0,1,1,1,2.33,78.5,78.2,80,6,3.07,"good",1,23,18.89,13,0,45,0.688
"SEC01-014","SEC01","school corridor",2021,1,1,1,1,1.17,78.5,72.5,80,6,3.07,"good",1,23,21.87,20,0,23,0.914
"SEC01-015","SEC01","suburban arterial",2019,0,1,1,1,1.25,75.6,73.7,80,3,1.59,"adequate",0,8,4.9,14,1,37,2.857
"SEC01-015","SEC01","suburban arterial",2021,1,1,1,1,2.81,75.6,70,80,3,1.59,"adequate",0,8,6.73,4,0,12,0.594
"SEC01-016","SEC01","urban arterial",2019,0,1,1,1,2.57,82.7,85.1,80,6,3.29,"adequate",0,22,23.7,30,1,58,1.266
"SEC01-016","SEC01","urban arterial",2021,1,1,1,1,2.11,82.7,77.3,80,6,3.29,"adequate",0,22,23.94,16,0,31,0.668
"SEC01-017","SEC01","school corridor",2019,0,1,1,1,1.31,73.1,73.1,80,5,3.17,"poor",1,22,23.14,16,0,42,0.691
"SEC01-017","SEC01","school corridor",2021,1,1,1,1,3.79,73.1,67.7,80,5,3.17,"poor",1,22,19.26,14,0,28,0.727
"SEC01-018","SEC01","suburban arterial",2019,0,1,1,1,2.03,70.5,69.5,80,3,3.17,"good",0,12,9.27,30,1,40,3.236
"SEC01-018","SEC01","suburban arterial",2021,1,1,1,1,1.52,70.5,66.2,80,3,3.17,"good",0,12,11.48,8,0,16,0.697
"SEC01-019","SEC01","ring road",2019,0,1,1,1,2.54,74.6,76.9,80,3,1.91,"adequate",0,10,6.78,11,0,28,1.622
"SEC01-019","SEC01","ring road",2021,1,1,1,1,0.86,74.6,67.5,80,3,1.91,"adequate",0,10,6.8,10,0,24,1.471
"SEC01-020","SEC01","urban arterial",2019,0,1,1,1,3.12,84.5,84.1,80,3,2.73,"adequate",0,15,10.71,7,0,21,0.654
"SEC01-020","SEC01","urban arterial",2021,1,1,1,1,2.58,84.5,77.9,80,3,2.73,"adequate",0,15,10.91,7,0,13,0.642
"SEC01-021","SEC01","urban arterial",2019,0,1,0,0,0,64.4,65.3,60,5,3.35,"good",1,14,19.31,16,0,23,0.829
"SEC01-021","SEC01","urban arterial",2021,1,1,0,0,0,64.4,63.8,60,5,3.35,"good",1,14,21.73,15,0,22,0.69
"SEC01-022","SEC01","suburban arterial",2019,0,1,1,1,2.58,76.9,77.8,80,2,2.6,"poor",0,20,6.28,15,0,28,2.389
"SEC01-022","SEC01","suburban arterial",2021,1,1,1,1,3.17,76.9,71.1,80,2,2.6,"poor",0,20,7.85,8,0,18,1.019
"SEC01-023","SEC01","suburban arterial",2019,0,1,1,1,2.45,88.4,88.7,100,4,2.38,"good",0,14,11.19,13,0,31,1.162
"SEC01-023","SEC01","suburban arterial",2021,1,1,1,1,3.21,88.4,82.1,100,4,2.38,"good",0,14,13.13,13,1,17,0.99
"SEC01-024","SEC01","urban arterial",2019,0,1,1,1,2.27,81.1,78.7,80,3,0.7,"adequate",0,6,2.08,7,0,17,3.365
"SEC01-024","SEC01","urban arterial",2021,1,1,1,1,2.58,81.1,77,80,3,0.7,"adequate",0,6,2.23,7,0,11,3.139
"SEC01-025","SEC01","suburban arterial",2019,0,1,1,1,0.33,79.6,80,80,6,0.43,"adequate",1,1,3.09,3,0,18,0.971
"SEC01-025","SEC01","suburban arterial",2021,1,1,1,1,3.51,79.6,72.6,80,6,0.43,"adequate",1,1,2.84,12,0,17,4.225
"SEC01-026","SEC01","school corridor",2019,0,1,1,1,2.56,79.6,81.6,80,4,0.66,"good",1,5,3.32,15,1,18,4.518
"SEC01-026","SEC01","school corridor",2021,1,1,1,1,2.33,79.6,74.3,80,4,0.66,"good",1,5,2.41,6,0,15,2.49
"SEC01-027","SEC01","urban arterial",2019,0,1,1,1,3.82,79.4,79.2,80,4,0.55,"poor",0,9,2.54,7,0,11,2.756
"SEC01-027","SEC01","urban arterial",2021,1,1,1,1,2.64,79.4,74.5,80,4,0.55,"poor",0,9,3.01,3,0,11,0.997
"SEC01-028","SEC01","ring road",2019,0,1,0,0,0,65.3,65.7,80,4,2.56,"poor",1,9,10.37,15,1,24,1.446
"SEC01-028","SEC01","ring road",2021,1,1,0,0,0,65.3,63.3,80,4,2.56,"poor",1,9,12.84,10,0,27,0.779
"SEC01-029","SEC01","urban arterial",2019,0,1,0,0,0,60.3,59.1,60,4,2.21,"poor",0,10,11.41,8,0,30,0.701
"SEC01-029","SEC01","urban arterial",2021,1,1,0,0,0,60.3,60.9,60,4,2.21,"poor",0,10,10.45,9,0,14,0.861
"SEC01-030","SEC01","suburban arterial",2019,0,1,0,0,0,63.1,62.7,60,5,1.61,"good",0,10,10.51,10,0,17,0.951
"SEC01-030","SEC01","suburban arterial",2021,1,1,0,0,0,63.1,62.4,60,5,1.61,"good",0,10,8.42,7,0,10,0.831
"SEC01-031","SEC01","urban arterial",2019,0,1,1,1,2.3,76,76.1,80,5,0.41,"adequate",0,14,2.19,9,0,17,4.11
"SEC01-031","SEC01","urban arterial",2021,1,1,1,1,1.97,76,71.3,80,5,0.41,"adequate",0,14,2.25,13,0,7,5.778
"SEC01-032","SEC01","school corridor",2019,0,1,1,1,2.08,76.2,75.5,80,3,1.92,"adequate",0,7,6.51,13,0,18,1.997
"SEC01-032","SEC01","school corridor",2021,1,1,1,1,1.76,76.2,71.9,80,3,1.92,"adequate",0,7,8.19,7,0,17,0.855
"SEC01-033","SEC01","suburban arterial",2019,0,1,1,1,2.98,79.2,79.1,80,5,0.47,"adequate",0,5,2.72,9,0,15,3.309
"SEC01-033","SEC01","suburban arterial",2021,1,1,1,1,3.98,79.2,71.9,80,5,0.47,"adequate",0,5,2.52,4,0,9,1.587
"SEC01-034","SEC01","suburban arterial",2019,0,1,1,1,3.03,70.9,70.5,80,3,1.64,"adequate",1,16,6.36,9,0,15,1.415
"SEC01-034","SEC01","suburban arterial",2021,1,1,1,1,1.73,70.9,65.1,80,3,1.64,"adequate",1,16,5.66,7,0,18,1.237
"SEC01-035","SEC01","ring road",2019,0,1,1,1,3.5,89.1,89.3,100,3,1.85,"adequate",1,18,6.27,14,1,32,2.233
"SEC01-035","SEC01","ring road",2021,1,1,1,1,3.42,89.1,83,100,3,1.85,"adequate",1,18,5.46,5,0,12,0.916
"SEC01-036","SEC01","ring road",2019,0,1,1,1,1.82,96.3,95.2,100,5,1.92,"good",1,15,11.68,11,1,22,0.942
"SEC01-036","SEC01","ring road",2021,1,1,1,1,2.58,96.3,89.1,100,5,1.92,"good",1,15,10.08,12,1,19,1.19
"SEC01-037","SEC01","urban arterial",2019,0,1,1,1,3.29,73.7,75.2,80,4,2.42,"poor",0,12,10.76,19,0,32,1.766
"SEC01-037","SEC01","urban arterial",2021,1,1,1,1,3.26,73.7,68.3,80,4,2.42,"poor",0,12,11.9,12,1,13,1.008
"SEC01-038","SEC01","suburban arterial",2019,0,1,1,1,2.95,74.2,73.9,80,3,1.49,"adequate",0,9,5.19,8,0,20,1.541
"SEC01-038","SEC01","suburban arterial",2021,1,1,1,1,3.04,74.2,68.5,80,3,1.49,"adequate",0,9,6.5,7,0,18,1.077
"SEC01-039","SEC01","urban arterial",2019,0,1,0,0,0,63.6,62.7,60,6,2.33,"adequate",0,10,17.66,19,0,37,1.076
"SEC01-039","SEC01","urban arterial",2021,1,1,0,0,0,63.6,64.7,60,6,2.33,"adequate",0,10,14.13,12,0,21,0.849
"SEC01-040","SEC01","suburban arterial",2019,0,1,0,0,0,66.4,65.6,80,6,1.67,"adequate",1,15,10.69,21,1,29,1.964
"SEC01-040","SEC01","suburban arterial",2021,1,1,0,0,0,66.4,64.7,80,6,1.67,"adequate",1,15,12.94,6,0,13,0.464
"SEC01-041","SEC01","urban arterial",2019,0,1,1,1,3.24,81,79.9,80,5,2.25,"adequate",1,24,12.79,28,0,46,2.189
"SEC01-041","SEC01","urban arterial",2021,1,1,1,1,3.4,81,76.1,80,5,2.25,"adequate",1,24,11.32,9,0,6,0.795
"SEC01-042","SEC01","suburban arterial",2019,0,1,1,1,2.57,74.2,73.9,80,2,2.83,"good",0,15,6.25,11,0,34,1.76
"SEC01-042","SEC01","suburban arterial",2021,1,1,1,1,2.61,74.2,70.7,80,2,2.83,"good",0,15,8.53,11,1,18,1.29
"SEC01-043","SEC01","urban arterial",2019,0,1,0,0,0,69.4,68.1,80,5,1.19,"adequate",0,7,6.7,12,0,19,1.791
"SEC01-043","SEC01","urban arterial",2021,1,1,0,0,0,69.4,66,80,5,1.19,"adequate",0,7,7.51,5,0,10,0.666
"SEC01-044","SEC01","urban arterial",2019,0,1,1,1,2.97,79.3,75.8,80,2,3.28,"poor",0,11,7.35,15,0,20,2.041
"SEC01-044","SEC01","urban arterial",2021,1,1,1,1,2.91,79.3,74.9,80,2,3.28,"poor",0,11,7.56,6,0,23,0.794
"SEC01-045","SEC01","urban arterial",2019,0,1,1,1,2.76,80.9,81.7,80,4,0.63,"good",1,9,3.34,11,1,18,3.293
"SEC01-045","SEC01","urban arterial",2021,1,1,1,1,1.83,80.9,74.8,80,4,0.63,"good",1,9,3.15,3,0,8,0.952
"SEC01-046","SEC01","suburban arterial",2019,0,1,0,0,0,57.2,55.9,60,4,1.03,"good",0,12,4.66,6,1,9,1.288
"SEC01-046","SEC01","suburban arterial",2021,1,1,0,0,0,57.2,58,60,4,1.03,"good",0,12,4.7,6,0,6,1.277
"SEC01-047","SEC01","urban arterial",2019,0,1,0,0,0,63.1,61.8,60,3,2.57,"adequate",0,10,9.41,9,0,21,0.956
"SEC01-047","SEC01","urban arterial",2021,1,1,0,0,0,63.1,62,60,3,2.57,"adequate",0,10,8.49,7,0,9,0.824
"SEC01-048","SEC01","suburban arterial",2019,0,1,1,1,3.17,76.9,75.4,80,2,0.42,"adequate",1,5,0.96,7,0,19,7.292
"SEC01-048","SEC01","suburban arterial",2021,1,1,1,1,2.77,76.9,72.8,80,2,0.42,"adequate",1,5,0.86,3,0,13,3.488
"SEC01-049","SEC01","urban arterial",2019,0,1,0,0,0,65,65.8,80,5,0.81,"good",0,10,5.45,4,0,18,0.734
"SEC01-049","SEC01","urban arterial",2021,1,1,0,0,0,65,63.9,80,5,0.81,"good",0,10,5.4,4,0,12,0.741
"SEC01-050","SEC01","suburban arterial",2019,0,1,0,0,0,68.1,68.1,80,3,2.63,"poor",0,16,8.05,18,0,16,2.236
"SEC01-050","SEC01","suburban arterial",2021,1,1,0,0,0,68.1,67.9,80,3,2.63,"poor",0,16,7.65,16,1,23,2.092
"SEC02-001","SEC02","ring road",2019,0,1,1,1,3.26,102.7,103,100,3,0.81,"adequate",1,10,2.4,21,1,23,8.75
"SEC02-001","SEC02","ring road",2021,1,1,1,1,1.96,102.7,94.5,100,3,0.81,"adequate",1,10,2.91,7,1,11,2.405
"SEC02-002","SEC02","urban arterial",2019,0,1,1,1,1.75,75.9,75.2,80,3,2.65,"poor",1,17,9.08,16,0,29,1.762
"SEC02-002","SEC02","urban arterial",2021,1,1,1,1,1.79,75.9,70.9,80,3,2.65,"poor",1,17,11.01,6,0,12,0.545
"SEC02-003","SEC02","suburban arterial",2019,0,1,1,1,2.33,75.1,75.2,80,5,1.99,"poor",0,18,12.46,9,0,29,0.722
"SEC02-003","SEC02","suburban arterial",2021,1,1,1,1,2.06,75.1,70.7,80,5,1.99,"poor",0,18,12.27,22,0,35,1.793
"SEC02-004","SEC02","ring road",2019,0,1,1,1,2.15,79,78.9,80,5,3.19,"adequate",0,15,19.05,27,1,43,1.417
"SEC02-004","SEC02","ring road",2021,1,1,1,1,2.56,79,73.3,80,5,3.19,"adequate",0,15,19.06,20,0,23,1.049
"SEC02-005","SEC02","ring road",2019,0,1,1,1,3.48,72.7,71.4,80,5,2.61,"adequate",0,13,14.87,17,0,19,1.143
"SEC02-005","SEC02","ring road",2021,1,1,1,1,2.25,72.7,67.3,80,5,2.61,"adequate",0,13,11.8,15,1,33,1.271
"SEC02-006","SEC02","school corridor",2019,0,1,1,1,3.37,70.8,70.9,80,4,2.66,"good",1,9,12.98,14,0,19,1.079
"SEC02-006","SEC02","school corridor",2021,1,1,1,1,2.45,70.8,66,80,4,2.66,"good",1,9,12.48,5,0,15,0.401
"SEC02-007","SEC02","suburban arterial",2019,0,1,1,1,2.61,75.9,74.4,80,4,3.37,"poor",0,20,18.25,20,1,41,1.096
"SEC02-007","SEC02","suburban arterial",2021,1,1,1,1,2.91,75.9,71,80,4,3.37,"poor",0,20,17.2,15,0,24,0.872
"SEC02-008","SEC02","ring road",2019,0,1,1,1,3.48,71.9,70.9,80,4,1.51,"adequate",0,4,7.17,8,1,14,1.116
"SEC02-008","SEC02","ring road",2021,1,1,1,1,2.01,71.9,67,80,4,1.51,"adequate",0,4,6.94,7,0,17,1.009
"SEC02-009","SEC02","suburban arterial",2019,0,1,0,0,0,68.9,68.4,80,6,2.12,"adequate",1,21,16.15,18,0,42,1.115
"SEC02-009","SEC02","suburban arterial",2021,1,1,0,0,0,68.9,69.2,80,6,2.12,"adequate",1,21,17.8,12,0,36,0.674
"SEC02-010","SEC02","urban arterial",2019,0,1,1,1,3.28,76.3,75.1,80,4,0.78,"adequate",0,4,4.14,5,1,7,1.208
"SEC02-010","SEC02","urban arterial",2021,1,1,1,1,2.12,76.3,71.4,80,4,0.78,"adequate",0,4,4.15,8,0,15,1.928
"SEC02-011","SEC02","urban arterial",2019,0,1,0,0,0,63.7,62.9,60,3,0.43,"poor",0,8,1.52,7,0,9,4.605
"SEC02-011","SEC02","urban arterial",2021,1,1,0,0,0,63.7,63.2,60,3,0.43,"poor",0,8,1.69,10,1,22,5.917
"SEC02-012","SEC02","urban arterial",2019,0,1,1,1,2.96,77.4,75.5,80,6,2.18,"adequate",1,16,14.71,21,0,39,1.428
"SEC02-012","SEC02","urban arterial",2021,1,1,1,1,2.58,77.4,73,80,6,2.18,"adequate",1,16,15.84,13,1,39,0.821
"SEC02-013","SEC02","urban arterial",2019,0,1,1,1,3.07,85.6,85.8,100,3,0.7,"adequate",1,13,1.95,13,0,12,6.667
"SEC02-013","SEC02","urban arterial",2021,1,1,1,1,1.59,85.6,81.5,100,3,0.7,"adequate",1,13,2.58,9,0,10,3.488
"SEC02-014","SEC02","ring road",2019,0,1,0,0,0,67.4,69.5,80,5,2.87,"adequate",0,13,14.01,10,0,20,0.714
"SEC02-014","SEC02","ring road",2021,1,1,0,0,0,67.4,66.3,80,5,2.87,"adequate",0,13,15.95,16,0,11,1.003
"SEC02-015","SEC02","urban arterial",2019,0,1,0,0,0,53.8,53.1,60,4,1.29,"adequate",1,9,7.45,7,0,9,0.94
"SEC02-015","SEC02","urban arterial",2021,1,1,0,0,0,53.8,54,60,4,1.29,"adequate",1,9,6.47,7,0,11,1.082
"SEC02-016","SEC02","ring road",2019,0,1,0,0,0,68.6,68.5,80,4,0.44,"adequate",0,6,2.23,7,0,6,3.139
"SEC02-016","SEC02","ring road",2021,1,1,0,0,0,68.6,69.1,80,4,0.44,"adequate",0,6,2.1,9,0,10,4.286
"SEC02-017","SEC02","school corridor",2019,0,1,0,0,0,53.7,54.9,60,4,0.97,"good",0,9,4.06,8,0,12,1.97
"SEC02-017","SEC02","school corridor",2021,1,1,0,0,0,53.7,54.1,60,4,0.97,"good",0,9,4.99,3,0,7,0.601
"SEC02-018","SEC02","school corridor",2019,0,1,0,0,0,57.8,57.9,60,4,1.69,"good",1,10,7.41,6,0,15,0.81
"SEC02-018","SEC02","school corridor",2021,1,1,0,0,0,57.8,58,60,4,1.69,"good",1,10,8.1,7,0,17,0.864
"SEC02-019","SEC02","suburban arterial",2019,0,1,1,1,3.02,77.5,75.7,80,5,1.16,"adequate",0,14,7.27,10,0,12,1.376
"SEC02-019","SEC02","suburban arterial",2021,1,1,1,1,1.13,77.5,70.6,80,5,1.16,"adequate",0,14,6.36,12,1,19,1.887
"SEC02-020","SEC02","urban arterial",2019,0,1,1,1,2.85,80.5,78.8,80,4,1.61,"good",0,6,7.34,10,0,17,1.362
"SEC02-020","SEC02","urban arterial",2021,1,1,1,1,2.3,80.5,74.3,80,4,1.61,"good",0,6,7.86,3,0,10,0.382
"SEC02-021","SEC02","urban arterial",2019,0,1,1,1,2.46,73.4,72.7,80,5,2.09,"adequate",1,19,14.56,21,0,28,1.442
"SEC02-021","SEC02","urban arterial",2021,1,1,1,1,2.65,73.4,67.1,80,5,2.09,"adequate",1,19,12.71,12,0,23,0.944
"SEC02-022","SEC02","urban arterial",2019,0,1,0,0,0,66.3,65.6,80,4,1.56,"good",0,4,7.91,10,0,12,1.264
"SEC02-022","SEC02","urban arterial",2021,1,1,0,0,0,66.3,68.3,80,4,1.56,"good",0,4,8.54,8,0,15,0.937
"SEC02-023","SEC02","ring road",2019,0,1,1,1,3.67,75.2,74.3,80,4,1.64,"good",0,11,7.78,12,0,14,1.542
"SEC02-023","SEC02","ring road",2021,1,1,1,1,4,75.2,68.2,80,4,1.64,"good",0,11,8.98,5,0,15,0.557
"SEC02-024","SEC02","urban arterial",2019,0,1,0,0,0,64.9,67.1,60,6,0.92,"adequate",0,13,6.3,3,0,13,0.476
"SEC02-024","SEC02","urban arterial",2021,1,1,0,0,0,64.9,63.4,60,6,0.92,"adequate",0,13,7.09,10,0,16,1.41
"SEC02-025","SEC02","school corridor",2019,0,1,1,1,1.34,78.3,77.6,80,6,2.48,"adequate",0,11,16.74,19,1,27,1.135
"SEC02-025","SEC02","school corridor",2021,1,1,1,1,2.64,78.3,74.1,80,6,2.48,"adequate",0,11,16.57,10,0,35,0.604
"SEC02-026","SEC02","urban arterial",2019,0,1,0,0,0,68,69.3,80,3,1.89,"poor",1,9,7.84,7,0,17,0.893
"SEC02-026","SEC02","urban arterial",2021,1,1,0,0,0,68,68.5,80,3,1.89,"poor",1,9,6.78,8,0,14,1.18
"SEC02-027","SEC02","ring road",2019,0,1,0,0,0,63.1,64.6,60,4,0.69,"adequate",0,10,3.6,8,0,7,2.222
"SEC02-027","SEC02","ring road",2021,1,1,0,0,0,63.1,62.6,60,4,0.69,"adequate",0,10,3.51,8,0,14,2.279
"SEC02-028","SEC02","urban arterial",2019,0,1,1,1,2.78,75.3,75.5,80,6,3.4,"adequate",0,15,25.8,32,3,64,1.24
"SEC02-028","SEC02","urban arterial",2021,1,1,1,1,3.15,75.3,68.7,80,6,3.4,"adequate",0,15,21.85,11,1,21,0.503
"SEC02-029","SEC02","ring road",2019,0,1,1,1,2,82.2,81.4,80,5,1.3,"poor",0,15,7.51,12,0,22,1.598
"SEC02-029","SEC02","ring road",2021,1,1,1,1,2.23,82.2,76.9,80,5,1.3,"poor",0,15,8.83,13,0,26,1.472
"SEC02-030","SEC02","urban arterial",2019,0,1,1,1,3.86,72.9,75,80,4,3.33,"good",1,17,14.34,10,1,27,0.697
"SEC02-030","SEC02","urban arterial",2021,1,1,1,1,1.73,72.9,66.6,80,4,3.33,"good",1,17,16.27,8,0,12,0.492
"SEC02-031","SEC02","urban arterial",2019,0,1,1,1,3.63,95.5,95.4,100,3,0.48,"adequate",0,13,1.73,5,0,26,2.89
"SEC02-031","SEC02","urban arterial",2021,1,1,1,1,2.65,95.5,90.1,100,3,0.48,"adequate",0,13,1.77,7,1,19,3.955
"SEC02-032","SEC02","urban arterial",2019,0,1,1,1,1.91,77,75.9,80,3,2.24,"poor",0,11,7.45,16,1,36,2.148
"SEC02-032","SEC02","urban arterial",2021,1,1,1,1,2.84,77,71.8,80,3,2.24,"poor",0,11,8.35,10,1,16,1.198
"SEC02-033","SEC02","suburban arterial",2019,0,1,1,1,0.8,75.2,76.5,80,4,0.57,"adequate",0,9,2.69,12,0,11,4.461
"SEC02-033","SEC02","suburban arterial",2021,1,1,1,1,3.11,75.2,69.7,80,4,0.57,"adequate",0,9,3.37,4,0,11,1.187
"SEC02-034","SEC02","urban arterial",2019,0,1,1,1,2.55,75.2,75.6,80,5,0.58,"adequate",0,11,3.15,9,0,19,2.857
"SEC02-034","SEC02","urban arterial",2021,1,1,1,1,2.13,75.2,70.9,80,5,0.58,"adequate",0,11,3.29,10,1,6,3.04
"SEC02-035","SEC02","urban arterial",2019,0,1,0,0,0,58.7,59.8,60,6,0.54,"poor",0,9,3.26,4,0,18,1.227
"SEC02-035","SEC02","urban arterial",2021,1,1,0,0,0,58.7,58.7,60,6,0.54,"poor",0,9,3.68,11,0,22,2.989
"SEC02-036","SEC02","ring road",2019,0,1,0,0,0,69.8,71.9,80,3,2.03,"adequate",0,16,6.59,7,1,11,1.062
"SEC02-036","SEC02","ring road",2021,1,1,0,0,0,69.8,68.7,80,3,2.03,"adequate",0,16,7.14,17,0,35,2.381
"SEC02-037","SEC02","ring road",2019,0,1,1,1,2.56,79.2,81.3,80,5,2.82,"poor",0,28,15.49,19,0,47,1.227
"SEC02-037","SEC02","ring road",2021,1,1,1,1,3.65,79.2,73.1,80,5,2.82,"poor",0,28,17.01,15,0,24,0.882
"SEC02-038","SEC02","urban arterial",2019,0,1,1,1,2.62,85.7,85.6,100,3,0.55,"poor",0,7,1.43,7,0,8,4.895
"SEC02-038","SEC02","urban arterial",2021,1,1,1,1,2.35,85.7,81.4,100,3,0.55,"poor",0,7,1.57,1,0,13,0.637
"SEC02-039","SEC02","suburban arterial",2019,0,1,0,0,0,66.2,66.4,80,5,3.17,"adequate",0,11,15.29,13,1,22,0.85
"SEC02-039","SEC02","suburban arterial",2021,1,1,0,0,0,66.2,65.8,80,5,3.17,"adequate",0,11,22.51,26,3,37,1.155
"SEC02-040","SEC02","suburban arterial",2019,0,1,0,0,0,63.1,63.8,60,5,0.66,"adequate",0,6,3.84,3,0,7,0.781
"SEC02-040","SEC02","suburban arterial",2021,1,1,0,0,0,63.1,63,60,5,0.66,"adequate",0,6,3.74,8,1,10,2.139
"SEC02-041","SEC02","school corridor",2019,0,1,0,0,0,69.8,70.3,80,3,2.91,"good",0,11,9.6,18,0,37,1.875
"SEC02-041","SEC02","school corridor",2021,1,1,0,0,0,69.8,71.3,80,3,2.91,"good",0,11,8.96,22,0,23,2.455
"SEC02-042","SEC02","school corridor",2019,0,1,1,1,3.32,85.2,85.9,100,5,2.49,"poor",0,30,20.93,22,1,43,1.051
"SEC02-042","SEC02","school corridor",2021,1,1,1,1,3.34,85.2,78.9,100,5,2.49,"poor",0,30,14.42,13,0,42,0.902
"SEC02-043","SEC02","school corridor",2019,0,1,0,0,0,67.9,68.4,80,4,1.05,"poor",0,14,4.54,6,0,12,1.322
"SEC02-043","SEC02","school corridor",2021,1,1,0,0,0,67.9,68.3,80,4,1.05,"poor",0,14,5.18,13,1,26,2.51
"SEC02-044","SEC02","urban arterial",2019,0,1,1,1,1.89,76.1,76.9,80,6,0.83,"adequate",0,6,5.74,8,1,18,1.394
"SEC02-044","SEC02","urban arterial",2021,1,1,1,1,3.24,76.1,70.6,80,6,0.83,"adequate",0,6,6.81,8,0,16,1.175
"SEC02-045","SEC02","urban arterial",2019,0,1,0,0,0,54.9,55.2,60,4,2.69,"adequate",0,16,13.27,14,0,24,1.055
"SEC02-045","SEC02","urban arterial",2021,1,1,0,0,0,54.9,53.6,60,4,2.69,"adequate",0,16,14.23,8,0,17,0.562
"SEC02-046","SEC02","ring road",2019,0,1,0,0,0,66.1,65,80,5,1.84,"adequate",0,16,11.14,10,0,32,0.898
"SEC02-046","SEC02","ring road",2021,1,1,0,0,0,66.1,65.8,80,5,1.84,"adequate",0,16,10.02,16,0,24,1.597
"SEC02-047","SEC02","suburban arterial",2019,0,1,1,1,2.73,75.7,78,80,4,2.79,"poor",1,18,11.37,14,0,30,1.231
