"segment_id","round","year","arm","school_size","lanes","road_length_km","crossing_present","prior_collisions_3yr","ave_speed_kmh","vehicles_km_millions","injury_collisions","child_collisions","minor_collisions","injuries_per_million_vkm"
"SZ014",1,2022,"No package","medium",4,0.61,0,10,46,2.25,4,0,8,1.778
"SZ015",0,2019,"Package","medium",2,1.81,0,6,47.6,2.98,5,2,18,1.678
"SZ015",1,2022,"Package","medium",2,1.81,0,6,40.5,3.39,8,4,10,2.36
"SZ016",0,2019,"No package","large",4,1.89,0,3,46.7,7.4,10,2,30,1.351
"SZ016",1,2022,"No package","large",4,1.89,0,3,47,8.03,15,3,19,1.868
"SZ017",0,2019,"No package","medium",3,1.76,0,5,48.8,4.55,7,2,22,1.538
"SZ017",1,2022,"No package","medium",3,1.76,0,5,45.3,4.59,13,10,12,2.832
"SZ018",0,2019,"Package","medium",3,1.06,0,8,45.3,3.08,8,4,18,2.597
"SZ018",1,2022,"Package","medium",3,1.06,0,8,42.1,2.95,6,0,5,2.034
"SZ019",0,2019,"No package","large",4,1.87,1,8,47.9,6.03,21,8,31,3.483
"SZ019",1,2022,"No package","large",4,1.87,1,8,46.1,6.85,14,9,16,2.044
"SZ020",0,2019,"Package","medium",3,1.5,0,6,46.1,3.87,23,6,25,5.943
"SZ020",1,2022,"Package","medium",3,1.5,0,6,43.1,4.4,11,3,19,2.5
"SZ021",0,2019,"No package","small",5,0.32,0,7,45.1,1.39,36,11,47,25.899
"SZ021",1,2022,"No package","small",5,0.32,0,7,43.4,1.53,23,11,42,15.033
"SZ022",0,2019,"Package","medium",3,2.16,1,2,46,6.27,8,2,15,1.276
"SZ022",1,2022,"Package","medium",3,2.16,1,2,43.8,5.23,2,0,9,0.382
"SZ023",0,2019,"Package","medium",3,0.49,0,9,43.8,1.7,5,0,13,2.941
"SZ023",1,2022,"Package","medium",3,0.49,0,9,42.5,1.3,2,1,5,1.538
"SZ024",0,2019,"No package","small",3,0.46,1,5,45.5,1.46,5,0,15,3.425
"SZ024",1,2022,"No package","small",3,0.46,1,5,45.4,1.29,6,3,14,4.651
"SZ025",0,2019,"No package","medium",2,1.68,0,8,45.3,3.36,6,2,8,1.786
"SZ025",1,2022,"No package","medium",2,1.68,0,8,45.6,3.04,3,0,9,0.987
"SZ026",0,2019,"No package","small",2,0.87,1,7,46.4,1.57,6,3,14,3.822
"SZ026",1,2022,"No package","small",2,0.87,1,7,45.7,1.71,5,0,11,2.924
"SZ027",0,2019,"No package","small",4,0.97,0,7,45.3,3.26,5,0,14,1.534
"SZ027",1,2022,"No package","small",4,0.97,0,7,45.1,3.76,8,3,5,2.128
"SZ028",0,2019,"Package","small",4,2.19,0,7,44,7.97,15,7,31,1.882
"SZ028",1,2022,"Package","small",4,2.19,0,7,41,7.7,11,2,20,1.429
"SZ029",0,2019,"Package","medium",4,0.69,0,8,46.9,2.79,18,7,26,6.452
"SZ029",1,2022,"Package","medium",4,0.69,0,8,42.5,2.82,9,1,20,3.191
"SZ030",0,2019,"No package","medium",3,0.8,0,10,45.9,2.06,7,3,10,3.398
"SZ030",1,2022,"No package","medium",3,0.8,0,10,45.2,2.37,8,5,11,3.376
"SZ031",0,2019,"No package","small",3,0.79,1,9,46.8,1.82,11,7,13,6.044
"SZ031",1,2022,"No package","small",3,0.79,1,9,45.6,2.5,9,3,8,3.6
"SZ032",0,2019,"No package","large",2,1.12,0,5,47.3,1.88,7,4,19,3.723
"SZ032",1,2022,"No package","large",2,1.12,0,5,45.4,2.12,10,7,21,4.717
"SZ033",0,2019,"Package","large",2,1.43,1,3,47.5,2.52,8,6,13,3.175
"SZ033",1,2022,"Package","large",2,1.43,1,3,41.7,2.33,4,1,9,1.717
"SZ034",0,2019,"Package","large",4,0.45,0,6,48.2,1.57,11,4,26,7.006
"SZ034",1,2022,"Package","large",4,0.45,0,6,40.6,1.67,4,0,10,2.395
"SZ035",0,2019,"No package","medium",4,0.34,1,3,46.6,1.32,9,2,17,6.818
"SZ035",1,2022,"No package","medium",4,0.34,1,3,44.7,1.27,6,0,22,4.724
"SZ036",0,2019,"No package","medium",4,2.01,0,9,46.6,7.44,4,1,18,0.538
"SZ036",1,2022,"No package","medium",4,2.01,0,9,45.2,7.71,5,5,12,0.649
"SZ037",0,2019,"Package","medium",2,1.59,0,6,45.4,2.85,4,3,7,1.404
"SZ037",1,2022,"Package","medium",2,1.59,0,6,43.2,2.68,7,3,7,2.612
"SZ038",0,2019,"No package","large",3,0.78,0,5,45,2.34,16,6,26,6.838
"SZ038",1,2022,"No package","large",3,0.78,0,5,45.1,2.68,6,2,20,2.239
"SZ039",0,2019,"No package","medium",3,1,0,8,45.3,2.8,11,9,13,3.929
"SZ039",1,2022,"No package","medium",3,1,0,8,45,2.66,6,2,12,2.256
"SZ040",0,2019,"Package","large",3,0.43,1,9,44.9,1.06,12,5,19,11.321
"SZ040",1,2022,"Package","large",3,0.43,1,9,41.4,1.23,8,2,9,6.504
"SZ041",0,2019,"Package","large",3,0.74,1,4,47,1.96,14,4,12,7.143
"SZ041",1,2022,"Package","large",3,0.74,1,4,42.6,2.24,8,4,9,3.571
"SZ042",0,2019,"Package","medium",3,0.44,1,6,43.6,1.3,7,3,10,5.385
"SZ042",1,2022,"Package","medium",3,0.44,1,6,40.3,1.33,6,3,8,4.511
"SZ043",0,2019,"Package","small",3,0.89,0,4,46.4,2.5,6,3,17,2.4
"SZ043",1,2022,"Package","small",3,0.89,0,4,43.1,2.46,5,1,10,2.033
"SZ044",0,2019,"Package","medium",3,2.01,0,10,46.8,5.39,19,8,29,3.525
"SZ044",1,2022,"Package","medium",3,2.01,0,10,43.3,5.19,11,0,16,2.119
"SZ045",0,2019,"No package","small",3,1.41,1,8,47.4,4.02,6,2,14,1.493
"SZ045",1,2022,"No package","small",3,1.41,1,8,44,3.86,10,1,8,2.591
"SZ046",0,2019,"Package","medium",4,1.48,0,8,47.3,5.59,20,7,23,3.578
"SZ046",1,2022,"Package","medium",4,1.48,0,8,42.6,5.95,12,6,17,2.017
"SZ047",0,2019,"No package","large",4,1.47,1,5,47.1,4.77,11,1,16,2.306
"SZ047",1,2022,"No package","large",4,1.47,1,5,45,6.18,11,2,14,1.78
"SZ048",0,2019,"Package","large",4,0.51,0,6,45.4,1.89,15,4,29,7.937
"SZ048",1,2022,"Package","large",4,0.51,0,6,42.3,1.94,10,3,15,5.155
"SZ049",0,2019,"No package","large",4,0.31,0,4,47.3,1.14,9,5,19,7.895
"SZ049",1,2022,"No package","large",4,0.31,0,4,48.3,1.63,3,2,17,1.84
"SZ050",0,2019,"No package","medium",2,1.07,0,11,46.3,1.99,9,5,24,4.523
"SZ050",1,2022,"No package","medium",2,1.07,0,11,46.1,2.01,10,4,7,4.975
"SZ051",0,2019,"Package","small",5,0.53,0,7,46.4,2.09,13,2,29,6.22
"SZ051",1,2022,"Package","small",5,0.53,0,7,39.8,2.11,8,1,20,3.791
"SZ052",0,2019,"Package","medium",2,0.38,0,6,44.9,0.65,6,1,7,9.231
"SZ052",1,2022,"Package","medium",2,0.38,0,6,42.8,0.68,1,1,4,1.471
"SZ053",0,2019,"Package","medium",3,1.25,0,5,46.6,3.58,10,6,19,2.793
"SZ053",1,2022,"Package","medium",3,1.25,0,5,42.4,3.54,11,1,16,3.107
"SZ054",0,2019,"No package","medium",3,1.84,0,8,45.1,4.08,22,10,29,5.392
"SZ054",1,2022,"No package","medium",3,1.84,0,8,45.6,4.67,18,10,33,3.854
"SZ055",0,2019,"No package","medium",5,0.91,0,11,45,3.95,8,3,15,2.025
"SZ055",1,2022,"No package","medium",5,0.91,0,11,46.1,5.11,9,3,16,1.761
"SZ056",0,2019,"Package","small",3,1.12,1,2,46.3,3.87,8,5,12,2.067
"SZ056",1,2022,"Package","small",3,1.12,1,2,41.8,2.98,1,0,12,0.336
"SZ057",0,2019,"Package","medium",3,0.56,0,7,45,1.62,19,5,19,11.728
"SZ057",1,2022,"Package","medium",3,0.56,0,7,43,1.75,5,0,8,2.857
"SZ058",0,2019,"Package","small",4,0.64,1,7,45.8,2.21,6,3,14,2.715
"SZ058",1,2022,"Package","small",4,0.64,1,7,42.1,2.34,7,0,5,2.991
"SZ059",0,2019,"Package","small",2,0.44,1,9,47.5,0.8,5,5,13,6.25
"SZ059",1,2022,"Package","small",2,0.44,1,9,43.6,0.76,6,2,9,7.895
"SZ060",0,2019,"No package","large",4,1.31,1,8,47.1,4.44,6,2,19,1.351
"SZ060",1,2022,"No package","large",4,1.31,1,8,45.3,4.74,9,1,16,1.899
"SZ061",0,2019,"No package","small",2,0.49,0,6,46.2,0.95,2,1,9,2.105
"SZ061",1,2022,"No package","small",2,0.49,0,6,45.3,0.91,4,0,6,4.396
"SZ062",0,2019,"Package","large",4,0.72,1,9,46.6,2.74,15,6,48,5.474
"SZ062",1,2022,"Package","large",4,0.72,1,9,45.4,2.7,14,7,23,5.185
"SZ063",0,2019,"Package","large",5,1.97,0,6,44.4,8.88,17,4,38,1.914
"SZ063",1,2022,"Package","large",5,1.97,0,6,42,9.06,9,1,21,0.993
"SZ064",0,2019,"Package","large",3,2.04,0,5,46,5.92,7,0,11,1.182
"SZ064",1,2022,"Package","large",3,2.04,0,5,41.7,6.27,12,1,10,1.914
"SZ065",0,2019,"No package","large",4,1.69,0,8,46.1,6.13,14,7,26,2.284
"SZ065",1,2022,"No package","large",4,1.69,0,8,44.6,5.73,13,4,20,2.269
"SZ066",0,2019,"No package","small",3,0.75,0,6,46.8,2.12,4,2,14,1.887
"SZ066",1,2022,"No package","small",3,0.75,0,6,46.1,2.22,7,3,14,3.153
"SZ067",0,2019,"Package","medium",4,1.19,0,6,45,4.88,11,5,25,2.254
"SZ067",1,2022,"Package","medium",4,1.19,0,6,42.4,4.66,8,3,2,1.717
"SZ068",0,2019,"Package","large",5,1.77,0,7,45.1,6.83,12,2,29,1.757
"SZ068",1,2022,"Package","large",5,1.77,0,7,40.6,8.05,8,4,20,0.994
"SZ069",0,2019,"Package","medium",2,0.69,1,6,47.5,1.22,4,0,11,3.279
"SZ069",1,2022,"Package","medium",2,0.69,1,6,40.6,1.34,1,0,5,0.746
"SZ070",0,2019,"No package","small",4,0.59,0,8,47.3,1.88,11,4,23,5.851
"SZ070",1,2022,"No package","small",4,0.59,0,8,48.7,2.03,7,6,9,3.448
"SZ071",0,2019,"Package","medium",2,2.17,1,8,47.8,4.26,12,6,30,2.817
"SZ071",1,2022,"Package","medium",2,2.17,1,8,43.5,4.24,9,1,18,2.123
"SZ072",0,2019,"Package","small",3,1.82,1,6,46.5,4.51,11,4,10,2.439
"SZ072",1,2022,"Package","small",3,1.82,1,6,44.7,5.64,5,2,10,0.887
"SZ073",0,2019,"No package","large",3,0.81,1,3,48.1,2.08,13,4,9,6.25
"SZ073",1,2022,"No package","large",3,0.81,1,3,42.8,2.35,9,1,17,3.83
"SZ074",0,2019,"No package","small",4,1.33,1,12,49.1,4.98,8,3,18,1.606
"SZ074",1,2022,"No package","small",4,1.33,1,12,45.2,4.75,5,3,9,1.053
"SZ075",0,2019,"No package","small",3,1.88,1,8,44,4.65,7,2,9,1.505
"SZ075",1,2022,"No package","small",3,1.88,1,8,44.4,5.87,1,0,14,0.17
"SZ076",0,2019,"Package","medium",6,1.14,0,5,47.8,6.94,24,11,20,3.458
"SZ076",1,2022,"Package","medium",6,1.14,0,5,41.6,5.88,13,3,21,2.211
"SZ077",0,2019,"Package","small",4,0.35,0,7,44.5,1.1,9,4,20,8.182
"SZ077",1,2022,"Package","small",4,0.35,0,7,44.2,1.2,5,3,11,4.167
"SZ078",0,2019,"Package","small",3,1.35,0,4,46.2,3.55,12,5,30,3.38
"SZ078",1,2022,"Package","small",3,1.35,0,4,41.4,3.65,5,1,10,1.37
"SZ079",0,2019,"No package","small",4,0.79,0,7,46.7,2.64,7,4,15,2.652
"SZ079",1,2022,"No package","small",4,0.79,0,7,43.6,2.54,13,4,15,5.118
"SZ080",0,2019,"No package","large",5,2.12,1,12,47.7,10,15,5,37,1.5
"SZ080",1,2022,"No package","large",5,2.12,1,12,44.4,8.08,14,5,28,1.733
"SZ081",0,2019,"No package","small",4,0.35,1,4,45.2,1.49,7,2,9,4.698
"SZ081",1,2022,"No package","small",4,0.35,1,4,46.2,1.61,6,3,11,3.727
"SZ082",0,2019,"Package","small",4,0.92,0,10,48.6,3.5,22,5,35,6.286
"SZ082",1,2022,"Package","small",4,0.92,0,10,42.2,3.38,12,1,18,3.55
"SZ083",0,2019,"Package","small",4,1.91,1,9,46.7,7.31,11,6,27,1.505
"SZ083",1,2022,"Package","small",4,1.91,1,9,41.6,7.31,13,2,10,1.778
"SZ084",0,2019,"No package","small",3,0.73,1,9,44.8,1.89,8,2,6,4.233
"SZ084",1,2022,"No package","small",3,0.73,1,9,48.4,2.35,7,6,11,2.979
"SZ085",0,2019,"No package","medium",4,1.26,0,3,45.2,4.25,13,7,32,3.059
"SZ085",1,2022,"No package","medium",4,1.26,0,3,45.3,4.26,19,7,28,4.46
"SZ086",0,2019,"Package","small",5,0.99,0,5,43.5,3.79,18,7,29,4.749
"SZ086",1,2022,"Package","small",5,0.99,0,5,43.4,4.81,7,0,10,1.455
"SZ087",0,2019,"Package","medium",3,1.66,1,7,47.8,4.45,5,3,15,1.124
"SZ087",1,2022,"Package","medium",3,1.66,1,7,41.5,4.83,4,1,11,0.828
"SZ088",0,2019,"No package","medium",2,1.21,0,3,46.8,2.23,6,2,10,2.691
"SZ088",1,2022,"No package","medium",2,1.21,0,3,46.8,2.1,6,3,10,2.857
"SZ089",0,2019,"Package","small",2,1.85,0,5,46,3.24,11,2,24,3.395
"SZ089",1,2022,"Package","small",2,1.85,0,5,44.3,3.53,7,3,12,1.983
"SZ090",0,2019,"No package","medium",4,2.04,0,7,45.7,7.29,12,1,25,1.646
"SZ090",1,2022,"No package","medium",4,2.04,0,7,46.3,8.33,13,3,22,1.561
"SZ091",0,2019,"Package","medium",4,1.61,1,8,47.4,5.45,12,2,20,2.202
"SZ091",1,2022,"Package","medium",4,1.61,1,8,41.9,6.1,11,2,19,1.803
"SZ092",0,2019,"No package","small",6,0.53,0,6,45.5,3.07,13,5,19,4.235
"SZ092",1,2022,"No package","small",6,0.53,0,6,44.5,2.91,9,5,19,3.093
"SZ093",0,2019,"No package","medium",4,1.99,1,3,45.6,7.62,14,6,12,1.837
"SZ093",1,2022,"No package","medium",4,1.99,1,3,45.2,7.33,13,7,24,1.774
"SZ094",0,2019,"No package","medium",3,2.1,0,11,45.9,5.83,28,16,31,4.803
"SZ094",1,2022,"No package","medium",3,2.1,0,11,46.3,5.91,13,6,29,2.2
"SZ095",0,2019,"No package","small",4,0.81,1,5,45.5,3.36,13,9,20,3.869
"SZ095",1,2022,"No package","small",4,0.81,1,5,45,2.93,4,1,8,1.365
"SZ096",0,2019,"No package","small",5,1.86,0,6,47.7,9.4,10,5,26,1.064
"SZ096",1,2022,"No package","small",5,1.86,0,6,44.8,7.89,16,8,23,2.028
"SZ097",0,2019,"No package","large",3,2.05,0,5,45,5.52,9,4,24,1.63
"SZ097",1,2022,"No package","large",3,2.05,0,5,45,5.57,8,4,20,1.436
"SZ098",0,2019,"No package","large",3,1.48,0,13,45.4,4.31,26,7,27,6.032
"SZ098",1,2022,"No package","large",3,1.48,0,13,44.8,4.19,19,4,24,4.535
"SZ099",0,2019,"Package","small",4,1.64,1,9,45.8,5.49,9,3,15,1.639
"SZ099",1,2022,"Package","small",4,1.64,1,9,43.2,6.17,5,2,9,0.81
"SZ100",0,2019,"No package","medium",5,2.02,0,3,45.9,9.51,23,10,29,2.419
"SZ100",1,2022,"No package","medium",5,2.02,0,3,47.1,9.02,14,7,22,1.552
"SZ101",0,2019,"Package","large",3,1.05,0,5,44.4,2.83,10,1,23,3.534
"SZ101",1,2022,"Package","large",3,1.05,0,5,44.7,2.78,15,5,18,5.396
"SZ102",0,2019,"No package","small",3,2.07,0,7,46,5.51,12,4,28,2.178
"SZ102",1,2022,"No package","small",3,2.07,0,7,47.2,6.18,14,4,32,2.265
"SZ103",0,2019,"Package","small",4,0.3,1,7,46.1,1.15,5,2,10,4.348
"SZ103",1,2022,"Package","small",4,0.3,1,7,40.1,1.14,5,3,13,4.386
"SZ104",0,2019,"No package","large",4,0.83,0,2,47.8,2.9,14,4,22,4.828
"SZ104",1,2022,"No package","large",4,0.83,0,2,45.1,3.54,12,3,14,3.39
"SZ105",0,2019,"No package","medium",3,1.33,0,9,46.6,3.8,11,6,16,2.895
"SZ105",1,2022,"No package","medium",3,1.33,0,9,46.1,3.66,10,1,13,2.732
"SZ106",0,2019,"Package","medium",2,1.88,0,1,46,3.35,3,3,6,0.896
"SZ106",1,2022,"Package","medium",2,1.88,0,1,42.6,3.28,3,2,9,0.915
"SZ107",0,2019,"Package","medium",2,1.29,0,3,46.7,2.35,1,0,11,0.426
"SZ107",1,2022,"Package","medium",2,1.29,0,3,41.8,2.29,3,1,9,1.31
"SZ108",0,2019,"Package","medium",5,1.4,0,9,45.8,6.32,21,8,43,3.323
"SZ108",1,2022,"Package","medium",5,1.4,0,9,43.2,5.09,6,2,23,1.179
"SZ109",0,2019,"No package","small",2,1.65,0,7,45.8,3.25,11,5,20,3.385
"SZ109",1,2022,"No package","small",2,1.65,0,7,47.6,2.66,16,10,25,6.015
"SZ110",0,2019,"No package","small",2,0.67,0,6,45.1,1.32,6,1,6,4.545
"SZ110",1,2022,"No package","small",2,0.67,0,6,45,1.44,1,1,5,0.694
"SZ111",0,2019,"Package","small",5,0.97,0,6,43.7,5.06,13,5,13,2.569
"SZ111",1,2022,"Package","small",5,0.97,0,6,43.2,4.97,5,2,8,1.006
"SZ112",0,2019,"Package","medium",5,1.16,0,4,44.9,5.33,16,4,28,3.002
"SZ112",1,2022,"Package","medium",5,1.16,0,4,42.5,5.49,14,1,10,2.55
"SZ113",0,2019,"No package","medium",4,1.65,0,3,45.5,5.58,6,1,12,1.075
"SZ113",1,2022,"No package","medium",4,1.65,0,3,46.2,5.72,5,2,18,0.874
"SZ114",0,2019,"Package","medium",3,2.16,1,5,46.8,5.74,7,1,12,1.22
"SZ114",1,2022,"Package","medium",3,2.16,1,5,43,6.95,2,3,5,0.288
"SZ115",0,2019,"No package","small",5,1.72,0,9,46.5,8.14,15,4,39,1.843
"SZ115",1,2022,"No package","small",5,1.72,0,9,47.1,8.04,13,3,25,1.617
"SZ116",0,2019,"Package","medium",2,0.76,0,10,46.1,1.5,3,2,12,2
"SZ116",1,2022,"Package","medium",2,0.76,0,10,44.5,1.57,3,5,6,1.911
"SZ117",0,2019,"Package","small",6,1.24,1,6,44.6,6.31,15,8,31,2.377
"SZ117",1,2022,"Package","small",6,1.24,1,6,43.6,6.37,10,6,14,1.57
"SZ118",0,2019,"No package","medium",2,0.45,0,6,48.6,0.79,8,5,10,10.127
"SZ118",1,2022,"No package","medium",2,0.45,0,6,45.4,0.9,4,4,4,4.444
"SZ119",0,2019,"No package","large",4,1.79,1,8,45.7,6.26,18,6,36,2.875
"SZ119",1,2022,"No package","large",4,1.79,1,8,43.4,6.97,16,8,33,2.296
"SZ120",0,2019,"No package","large",2,1.53,0,8,45,2.53,12,5,19,4.743
"SZ120",1,2022,"No package","large",2,1.53,0,8,46.6,2.61,9,2,22,3.448
"SZ121",0,2019,"No package","small",2,1.9,0,10,42,4.12,5,1,12,1.214
"SZ121",1,2022,"No package","small",2,1.9,0,10,46.3,3.45,4,1,12,1.159
"SZ122",0,2019,"Package","small",5,1.15,0,10,46.4,4.89,15,5,17,3.067
"SZ122",1,2022,"Package","small",5,1.15,0,10,43.4,5.43,8,4,18,1.473
"SZ123",0,2019,"Package","large",2,1.28,0,7,46,2.01,15,6,16,7.463
"SZ123",1,2022,"Package","large",2,1.28,0,7,39.8,2.67,6,2,8,2.247
"SZ124",0,2019,"Package","medium",3,0.49,0,6,47.7,1.34,12,5,12,8.955
"SZ124",1,2022,"Package","medium",3,0.49,0,6,43.3,1.73,5,1,13,2.89
"SZ125",0,2019,"Package","medium",3,1.53,1,9,47.8,4.55,11,6,22,2.418
"SZ125",1,2022,"Package","medium",3,1.53,1,9,43.1,5.11,8,3,14,1.566
"SZ126",0,2019,"Package","small",5,1.71,1,6,45.8,7.14,25,9,24,3.501
"SZ126",1,2022,"Package","small",5,1.71,1,6,43.4,9.18,12,2,20,1.307
"SZ127",0,2019,"No package","large",4,1.33,0,7,44.8,5.31,15,8,23,2.825
"SZ127",1,2022,"No package","large",4,1.33,0,7,45.5,4.82,10,5,21,2.075
"SZ128",0,2019,"No package","large",2,2.09,1,7,45.7,3.37,7,3,7,2.077
"SZ128",1,2022,"No package","large",2,2.09,1,7,47.7,3.55,8,1,10,2.254
"SZ129",0,2019,"No package","large",5,1.07,0,6,45.6,4.57,21,5,30,4.595
"SZ129",1,2022,"No package","large",5,1.07,0,6,46.4,5.37,22,8,27,4.097
"SZ130",0,2019,"Package","small",4,0.69,1,4,48.3,2.55,5,1,20,1.961
"SZ130",1,2022,"Package","small",4,0.69,1,4,43.7,2.66,9,3,6,3.383
"SZ131",0,2019,"Package","large",4,0.5,0,4,45,1.64,12,4,21,7.317
"SZ131",1,2022,"Package","large",4,0.5,0,4,41.1,2.04,6,0,16,2.941
"SZ132",0,2019,"No package","small",3,1.59,0,2,44.7,4.12,12,2,12,2.913
"SZ132",1,2022,"No package","small",3,1.59,0,2,46.2,3.93,10,5,18,2.545
"SZ133",0,2019,"Package","medium",4,1.81,1,3,46.1,6.97,6,3,10,0.861
"SZ133",1,2022,"Package","medium",4,1.81,1,3,43.3,6.79,5,2,9,0.736
"SZ134",0,2019,"No package","large",3,0.85,0,6,45.2,2.43,7,1,13,2.881
"SZ134",1,2022,"No package","large",3,0.85,0,6,47.9,2.39,4,2,14,1.674
"SZ135",0,2019,"No package","small",5,2.06,0,12,47,9.91,26,17,40,2.624
"SZ135",1,2022,"No package","small",5,2.06,0,12,46.3,9.55,23,13,28,2.408
"SZ136",0,2019,"Package","large",4,1.78,1,6,46.7,5.82,9,1,27,1.546
"SZ136",1,2022,"Package","large",4,1.78,1,6,44,6.27,5,0,11,0.797
"SZ137",0,2019,"Package","large",3,1.99,1,3,45.4,4.94,14,9,19,2.834
"SZ137",1,2022,"Package","large",3,1.99,1,3,43.6,4.96,7,2,11,1.411
"SZ138",0,2019,"No package","large",3,1.57,0,2,47,3.99,6,2,26,1.504
"SZ138",1,2022,"No package","large",3,1.57,0,2,44.7,4.87,15,6,27,3.08
"SZ139",0,2019,"No package","small",5,1.73,0,6,45.6,8.2,17,5,18,2.073
"SZ139",1,2022,"No package","small",5,1.73,0,6,45.8,9.22,15,5,26,1.627
"SZ140",0,2019,"Package","small",5,0.37,0,11,45.3,1.77,11,3,16,6.215
"SZ140",1,2022,"Package","small",5,0.37,0,11,42.5,1.89,10,4,12,5.291
"SZ141",0,2019,"No package","small",4,1.46,0,11,45.9,5.23,6,1,13,1.147
"SZ141",1,2022,"No package","small",4,1.46,0,11,46.7,5.13,7,4,11,1.365
"SZ142",0,2019,"No package","large",4,1.06,1,6,46.3,4.08,16,10,30,3.922
"SZ142",1,2022,"No package","large",4,1.06,1,6,46.6,3.83,19,9,30,4.961
"SZ143",0,2019,"No package","small",4,0.52,0,6,46.2,2.15,14,6,14,6.512
"SZ143",1,2022,"No package","small",4,0.52,0,6,45.2,1.96,10,2,11,5.102
"SZ144",0,2019,"No package","medium",3,1.11,0,10,44.8,2.75,12,5,20,4.364
"SZ144",1,2022,"No package","medium",3,1.11,0,10,46.3,3.07,7,4,11,2.28
"SZ145",0,2019,"Package","small",3,1.37,0,9,45.7,3.54,9,4,17,2.542
"SZ145",1,2022,"Package","small",3,1.37,0,9,41.8,3.92,2,0,13,0.51
"SZ146",0,2019,"Package","medium",3,2.02,0,9,44.4,6.21,10,4,15,1.61
"SZ146",1,2022,"Package","medium",3,2.02,0,9,43.5,6.73,3,1,5,0.446
"SZ147",0,2019,"No package","medium",4,2.12,1,6,44.4,7.84,16,8,21,2.041
"SZ147",1,2022,"No package","medium",4,2.12,1,6,44,6.74,16,6,23,2.374
"SZ148",0,2019,"No package","medium",2,1.95,1,6,44.1,3.53,12,1,13,3.399
"SZ148",1,2022,"No package","medium",2,1.95,1,6,45.5,2.91,10,4,16,3.436
"SZ149",0,2019,"Package","medium",3,0.98,0,7,47,2.79,13,7,12,4.659
"SZ149",1,2022,"Package","medium",3,0.98,0,7,42,2.89,9,1,5,3.114
"SZ150",0,2019,"No package","large",4,2.2,0,8,46.5,8.03,6,1,22,0.747
"SZ150",1,2022,"No package","large",4,2.2,0,8,45.2,7.02,6,2,13,0.855
"SZ151",0,2019,"Package","large",4,1.17,0,8,44.4,3.75,15,1,15,4
"SZ151",1,2022,"Package","large",4,1.17,0,8,43,4.41,7,0,11,1.587
"SZ152",0,2019,"No package","medium",4,1.19,0,12,45.6,3.89,9,1,9,2.314
"SZ152",1,2022,"No package","medium",4,1.19,0,12,44.8,4.21,12,7,14,2.85
"SZ153",0,2019,"No package","medium",4,0.43,1,6,47.6,1.57,19,6,18,12.102
"SZ153",1,2022,"No package","medium",4,0.43,1,6,46.3,1.41,9,4,24,6.383
